"","GEOID","cbsa","state_abb","variable","pop","moe"
"217","31340","Lynchburg","VA","B01003_001",260668,NA
"218","31420","Macon-Bibb County","GA","B01003_001",229676,NA
"219","31460","Madera","CA","B01003_001",155013,NA
"220","31540","Madison","WI","B01003_001",647281,NA
"221","31700","Manchester-Nashua","NH","B01003_001",411087,NA
"222","31740","Manhattan","KS","B01003_001",98841,NA
"223","31860","Mankato-North Mankato","MN","B01003_001",100105,NA
"224","31900","Mansfield","OH","B01003_001",121324,NA
"225","32420","Mayagüez","PR","B01003_001",93435,NA
"226","32580","McAllen-Edinburg-Mission","TX","B01003_001",849389,NA
"227","32780","Medford","OR","B01003_001",214267,NA
"228","32820","Memphis","TN","B01003_001",1345991,NA
"229","32900","Merced","CA","B01003_001",269075,NA
"230","33100","Miami-Fort Lauderdale-West Palm Beach","FL","B01003_001",6070944,NA
"231","33140","Michigan City-La Porte","IN","B01003_001",110552,NA
"232","33220","Midland","MI","B01003_001",83389,NA
"233","33260","Midland","TX","B01003_001",169808,NA
"234","33340","Milwaukee-Waukesha-West Allis","WI","B01003_001",1575907,NA
"235","33460","Minneapolis-St. Paul-Bloomington","MN","B01003_001",3557528,NA
"236","33540","Missoula","MT","B01003_001",115983,NA
"237","33660","Mobile","AL","B01003_001",414659,NA
"238","33700","Modesto","CA","B01003_001",539301,NA
"239","33740","Monroe","LA","B01003_001",178550,NA
"240","33780","Monroe","MI","B01003_001",149699,NA
"241","33860","Montgomery","AL","B01003_001",373589,NA
"242","34060","Morgantown","WV","B01003_001",139089,NA
"243","34100","Morristown","TN","B01003_001",116987,NA
"244","34580","Mount Vernon-Anacortes","WA","B01003_001",123907,NA
"245","34620","Muncie","IN","B01003_001",115616,NA
"246","34740","Muskegon","MI","B01003_001",173043,NA
"247","34820","Myrtle Beach-Conway-North Myrtle Beach","SC","B01003_001",447775,NA
"248","34900","Napa","CA","B01003_001",140530,NA
"249","34940","Naples-Immokalee-Marco Island","FL","B01003_001",363922,NA
"250","34980","Nashville-Davidson--Murfreesboro--Franklin","TN","B01003_001",1864138,NA
"251","35100","New Bern","NC","B01003_001",125519,NA
"252","35300","New Haven-Milford","CT","B01003_001",859339,NA
"253","35380","New Orleans-Metairie","LA","B01003_001",1263635,NA
"254","35620","New York-Newark-Jersey City","NY","B01003_001",19990592,NA
"255","35660","Niles-Benton Harbor","MI","B01003_001",154807,NA
"256","35840","North Port-Sarasota-Bradenton","FL","B01003_001",785997,NA
"257","35980","Norwich-New London","CT","B01003_001",268881,NA
"258","36100","Ocala","FL","B01003_001",348371,NA
"259","36140","Ocean City","NJ","B01003_001",93705,NA
"260","36220","Odessa","TX","B01003_001",158342,NA
"261","36260","Ogden-Clearfield","UT","B01003_001",652744,NA
"262","36420","Oklahoma City","OK","B01003_001",1369759,NA
"263","36500","Olympia-Tumwater","WA","B01003_001",274684,NA
"264","36540","Omaha-Council Bluffs","NE","B01003_001",922891,NA
"265","36740","Orlando-Kissimmee-Sanford","FL","B01003_001",2450261,NA
"266","36780","Oshkosh-Neenah","WI","B01003_001",169926,NA
"267","36980","Owensboro","KY","B01003_001",117987,NA
"268","37100","Oxnard-Thousand Oaks-Ventura","CA","B01003_001",848112,NA
"269","37340","Palm Bay-Melbourne-Titusville","FL","B01003_001",576808,NA
"270","37460","Panama City","FL","B01003_001",198537,NA
"271","37620","Parkersburg-Vienna","WV","B01003_001",91353,NA
"272","37860","Pensacola-Ferry Pass-Brent","FL","B01003_001",481964,NA
"273","37900","Peoria","IL","B01003_001",374426,NA
"274","37980","Philadelphia-Camden-Wilmington","PA","B01003_001",6069448,NA
"275","38060","Phoenix-Mesa-Scottsdale","AZ","B01003_001",4673634,NA
"276","38220","Pine Bluff","AR","B01003_001",92345,NA
"277","38300","Pittsburgh","PA","B01003_001",2339941,NA
"278","38340","Pittsfield","MA","B01003_001",127328,NA
"279","38540","Pocatello","ID","B01003_001",85065,NA
"280","38660","Ponce","PR","B01003_001",307093,NA
"281","38860","Portland-South Portland","ME","B01003_001",529323,NA
"282","38900","Portland-Vancouver-Hillsboro","OR","B01003_001",2417931,NA
"283","38940","Port St. Lucie","FL","B01003_001",463172,NA
"284","39140","Prescott","AZ","B01003_001",224645,NA
"285","39300","Providence-Warwick","RI","B01003_001",1615516,NA
"286","39340","Provo-Orem","UT","B01003_001",601388,NA
"287","39380","Pueblo","CO","B01003_001",164685,NA
"288","39460","Punta Gorda","FL","B01003_001",176954,NA
"289","39540","Racine","WI","B01003_001",195398,NA
"290","39580","Raleigh","NC","B01003_001",1302632,NA
"291","39660","Rapid City","SD","B01003_001",145291,NA
"292","39740","Reading","PA","B01003_001",416642,NA
"293","39820","Redding","CA","B01003_001",179085,NA
"294","39900","Reno","NV","B01003_001",454427,NA
"295","40060","Richmond","VA","B01003_001",1281530,NA
"296","40140","Riverside-San Bernardino-Ontario","CA","B01003_001",4518699,NA
"297","40220","Roanoke","VA","B01003_001",313291,NA
"298","40340","Rochester","MN","B01003_001",216035,NA
"299","40380","Rochester","NY","B01003_001",1074667,NA
"300","40420","Rockford","IL","B01003_001",339780,NA
"301","40580","Rocky Mount","NC","B01003_001",147335,NA
"302","40660","Rome","GA","B01003_001",96824,NA
"303","40900","Sacramento--Roseville--Arden-Arcade","CA","B01003_001",2291738,NA
"304","40980","Saginaw","MI","B01003_001",192778,NA
"305","41060","St. Cloud","MN","B01003_001",196598,NA
"306","41100","St. George","UT","B01003_001",160537,NA
"307","41140","St. Joseph","MO","B01003_001",126779,NA
"308","41180","St. Louis","MO","B01003_001",2805551,NA
"309","41420","Salem","OR","B01003_001",416980,NA
"310","41500","Salinas","CA","B01003_001",433212,NA
"311","41540","Salisbury","MD","B01003_001",399013,NA
"312","41620","Salt Lake City","UT","B01003_001",1185990,NA
"313","41660","San Angelo","TX","B01003_001",118990,153
"314","41700","San Antonio-New Braunfels","TX","B01003_001",2426204,NA
